ID,FechaIngreso,Vigencia,Año,Precio,Marca,Modelo,Kilometraje,Motor(cilindraje),Transmisión
1926725,2025-10-16 16:12:04,Activo,2013,$9.300,Nissan,Versa,100000 Kms,,
1926230,2025-10-16 16:12:10,Activo,2009,$10.500,Kia,Sportage Active,290000 Kms,2000,Manual
1897721,2025-10-16 16:12:16,Activo,2011,$10.900,Volkswagen,JETTA EUROPA 2.0,126283 Kms,2000,Manual
1926496,2025-10-16 16:12:22,Activo,2018,$17.500,Nissan,Kicks,53000 Kms,1600,Automática
1926688,2025-10-16 16:12:29,Activo,2017,$11.400,Renault,Logan Dynamique,94000 Kms,1600,Manual
1926041,2025-10-16 16:12:35,Activo,2018,$22.000,Hyundai,TUCSON TL,85000 Kms,2000,Manual
1923947,2025-10-16 16:12:40,Activo,2019,$11.000,Chevrolet,Spark GT,68000 Kms,1.2,Manual
1926663,2025-10-16 16:12:46,Activo,2008,$7.500,Skoda,Octavia A5 Diesel,191000 Kms,1900,SpeedTronic
1926668,2025-10-16 16:12:52,Activo,2025,$22.970,Kia,Sonet,20493 Kms,1500,Automática
1926697,2025-10-16 16:12:58,Activo,2005,$16.000,Chevrolet,Silverado,186000 Kms,3200,Automática
1926695,2025-10-16 16:13:04,Activo,2024,$32.900,Toyota,Corolla Cross High,22000 Kms,1800,Automática
1917705,2025-10-16 16:13:11,Activo,2022,$26.900,Peugeot,3008,44000 Kms,,
1926591,2025-10-16 16:13:16,Activo,2023,$20.470,Kia,Sonet,51263 Kms,1500,Manual
1926497,2025-10-16 16:13:22,Activo,1999,$9.910,Nissan,Pathfinder,228960 Kms,3300,Manual
1926710,2025-10-16 16:13:28,Activo,2019,$54.900,Chevrolet,Tahoe,107000 Kms,,
1920167,2025-10-16 16:13:35,Activo,2024,$17.500,Chevrolet,GROOVE LTZ,11000 Kms,1500,Manual
1926718,2025-10-16 16:13:41,Activo,2008,$8.800,Mazda,3,277000 Kms,,
1925365,2025-10-16 16:13:48,Activo,2021,$65.000,Ford,Explorer Limited,35000 Kms,2000,Automática
1925635,2025-10-16 16:13:55,Activo,2021,$18.500,Ford,TERRITORY TREND,100000 Kms,1500,Automática
1924907,2025-10-16 16:14:01,Activo,2011,$19.800,Mercedes Benz,C180 CGI,137000 Kms,1800 TURBO,
1920810,2025-10-16 16:14:07,Activo,2019,$37.846,Mazda,CX-9,102000 Kms,3200,Automática
1924131,2025-10-16 16:14:13,Activo,2019,$20.900,Nissan,X-Trail Sense,97000 Kms,2500,Automática
1926451,2025-10-16 16:14:19,Activo,2018,$22.500,Mazda,CX-5,145000 Kms,2500,Automática
1925554,2025-10-16 16:14:25,Activo,2013,$14.900,Ford,Edge,134603 Kms,3500,Automática
1925704,2025-10-16 16:14:31,Activo,2024,$16.700,Fiat,Pulse,34900 Kms,1.3,Manual
1925845,2025-10-16 16:14:37,Activo,2026,$22.470,Kia,Sonet,4625 Kms,1500,Manual
1920839,2025-10-16 16:14:44,Activo,2017,$15.000,Volkswagen,New Jetta,132000 Kms,2500,Automática
1921648,2025-10-16 16:14:50,Activo,2018,$19.500,Mazda,CX3 ENTRY,83861 Kms,2000,Automática
1926716,2025-10-16 16:14:56,Activo,2019,$24.500,Mazda,CX-5,149000 Kms,,
1927110,2025-10-16 16:15:02,Activo,2025,$37.000,JAC,T9,19000 Kms,2000,Automática
1924093,2025-10-16 16:15:08,Activo,2024,$14.900,Renault,Logan zen fase II,37000 Kms,1600,Manual
1927157,2025-10-16 16:15:14,Activo,2022,$17.500,Peugeot,208,55500 Kms,1200,Automática
1926405,2025-10-16 16:15:20,Activo,2012,$9.400,Citroen,Berlingo,161000 Kms,1900,Manual
1926975,2025-10-16 16:15:27,Activo,2023,$29.000,Ford,Escape,52375 Kms,2000,Automática
1926583,2025-10-16 16:15:33,Activo,2023,$21.400,Suzuki,VITARA GL PLUS,40974 Kms,1600,Manual